Workout Plans 2024–2025,,
Workout Plan 2024,,
2025-09-16,23,"Лёгкий бег 3 км, чсс 145 + разминка + СБУ (https://youtu.be/UA5BQEEWpaQ) 30 м/30 м трусцой + ускорения по прямой 5×100 м (75%)/100 м трусцой + интервалы 3×2000 м (чсс 165)/400 м трусцой + заминка 1 км, чсс 140-145 + растяжка (https://youtu.be/Tz5sIk_VgBw). План 15-21.09, ВТ."
2025-09-17,24,"Разминка + кросс 10 км, чсс 140 + растяжка (https://youtu.be/OjcN6RzWFWs). План 15-21.09, СР."
2025-09-18,25,"Разминка + кросс 2 км, чсс 140-145 + 12 км (чсс 155-160) + 2 км, чсс 135 + растяжка (https://youtu.be/7FCNFuyyWTA?si=HegpN1Tngej7akR_). План 15-21.09, ЧТ."
2025-09-19,26,"Отдых. План 15-21.09, ПТ."
2025-09-20,27,"Разминка + кросс 10 км, чсс 135 + растяжка (https://youtu.be/WBw1eoJwFtE). План 15-21.09, СБ."
2025-09-21,28,"Разминка + кросс 14 км, чсс 145-150 + растяжка (https://youtu.be/xMyQ6-EJGxw) + МФР (https://youtu.be/fWD3RgrmzjA). План 15-21.09, ВС."
2025-09-22,29,Отдых (день до блока).
2025-09-23,30,"2 км, чсс 145 + разминка + СБУ (https://youtu.be/UA5BQEEWpaQ) 30 м/30 м трусцой + ускорения 5×100 м (75%)/100 м трусцой + интервалы 5×1600 м (чсс 160-165)/400 м трусцой + 1 км заминка + растяжка (https://youtu.be/d4ZJXhCmORA?si=q05LdkV-r484stMe). План 22-28.09, ВТ."
2025-09-24,31,"Разминка + кросс 8 км спокойно + стопа (ВК-видео) + ОФП пресс (ВК) + растяжка (https://youtu.be/WBw1eoJwFtE?si=WMHB8_t2lzAP3ZxA). План 22-28.09, СР."
2025-09-25,32,"Разминка + кросс 6 км спокойно + ускорения в гору 10×200 м (85%)/200 м трусцой + 3 км заминка + растяжка. План 22-28.09, ЧТ."
2025-09-27,33,"Разминка + 10 км, чсс 145 + растяжка (https://youtu.be/OjcN6RzWFWs?si=Y-nmK0PmPmY9lbQs). План 22-28.09, СБ."
2025-09-28,34,"Разминка + кросс 30 км + растяжка (https://youtu.be/7FCNFuyyWTA). План 22-28.09, ВС."
2025-09-29,35,"Отдых. План 29.09-05.10, ПН."
2025-09-30,36,"3 км, чсс 145 + разминка + СБУ (https://youtu.be/UA5BQEEWpaQ) 30 м/30 м трусцой + ускорения 5×100 м (75%)/100 м трусцой + интервалы 4×2000 м (чсс 165)/400 м трусцой + 1 км заминка, чсс 140 + растяжка (https://youtu.be/VRe1uAzx1H4?si=9y3PYP2uuhpwfpKW). План 29.09-05.10, ВТ."
2025-10-01,37,"Разминка + кросс 8 км, чсс 140-145 + стопа (https://youtu.be/RkzYSkVEqs8?si=-7eVSm19IAARkpmw) + ОФП 1-й уровень (https://youtu.be/5Sby25HMiLc?si=vTwqHiNJlGibtz0w) ×2 серии/3 мин отдыха + растяжка (https://youtu.be/WBw1eoJwFtE?si=WMHB8_t2lzAP3ZxA). План 29.09-05.10, СР."
2025-10-02,38,"Разминка + кросс 12 км, чсс 145 + растяжка (https://youtu.be/Tz5sIk_VgBw). План 29.09-05.10, ЧТ."
2025-10-03,39,"Разминка + кросс 8 км, чсс 140-145 + растяжка (https://youtu.be/VRe1uAzx1H4?si=9y3PYP2uuhpwfpKW). План 29.09-05.10, ПТ."
2025-10-04,40,"ОФП 30 мин (https://youtu.be/CR4X4XwlA_c?si=cjcj6iY0-zoguoIL). План 29.09-05.10, СБ."
2025-10-05,41,"Разминка + кросс 32 км, чсс 145-150 + растяжка (https://youtu.be/xMyQ6-EJGxw) + МФР (https://youtu.be/fWD3RgrmzjA). План 29.09-05.10, ВС."
2025-10-26,42,"ПН: отдых; ВТ: отдых; СР: отдых; ЧТ: отдых; ПТ: отдых; СБ: разминка + кросс 40 мин, чсс 145-140 + растяжка (https://vkvideo.ru/video-53910460_456239077); ВС: отдых. ПЛАН 27.10-02.11 (неделя разгрузки)."
2025-11-03,43,ПН: отдых. Начало ПЛАНА 03-09.11.
2025-11-04,44,"Разминка + кросс 6 км, чсс 135 + растяжка (https://youtu.be/Tz5sIk_VgBw). ПЛАН 03-09.11, ВТ."
